nID;sID_BP;sID_Place_UA;sID_Group_Referent;asID_Group_Export;sFormulaFilter_Export;sNote
1;common_mreo_10;Киев;MJU_Dnipro_Top1_Dep1_Exec10;NULL;NULL;NULL
2;DFS_F1301801;Львов;MJU_Dnipro_Top1_Dep1_Exec2;NULL;NULL;NULL
3;dnepr_soczah_163;Днепр;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
4;common_zags_divorce;Днепр;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
5;kuznetsovsk_mvk_2;Ровно;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
6;ternopol_oda_209;Полтава;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
7;ternopol_oda_226;Полтава;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
38;loda_invest_1;Львів;loda_invest;NULL;NULL;NULL
39;loda_invest_2;Львів;loda_invest;NULL;NULL;NULL
43;chervonograd_cnap_301;Днепр;cnap_lviv_chervonogradT;NULL;NULL;NULL
59;subsidiesUkraine_ECP;;testing;NULL;(sID_Public_SubjectOrganJoin=='s1');NULL
66;justice_0353_PervDopom;;;bvpd_dnipro1;(asDecide=='sReject'||asDecide=='sAnswer');NULL
72;justice_0353_PervDopom;;;bvpd_dnipro2;(asDecide=='sAccept');NULL
267;nssmc_trader;;nssmc;nssmc;NULL;NULL
268;nssmc_share;;nssmc;nssmc;NULL;NULL
269;nssmc_operator_study;;nssmc;nssmc;NULL;NULL
270;nssmc_license;;nssmc;nssmc;NULL;NULL
271;oda_0733;;;lugoda_test;NULL;NULL
