nID;sID;sType;sURL_Alpha;sURL_Beta;sURL_Omega;sURL
5;Delta;Region;;;;https://delta.test.region.igov.gov.ua
15;Sigma;Region;;;;https://sigma.test.region.igov.gov.ua
10;BTS;Region;;;;https://doc-gamma.test.btsol.com.ua
30;OGOK;Region;;;;https://idoc-ogok.test.region.igov.gov.ua
33;MGOK;Region;;;;https://idoc-mgok.test.region.igov.gov.ua
31;NZF;Region;;;;https://idoc-nzf.test.region.igov.gov.ua
32;ZFZ;Region;;;;https://idoc-zfz.test.region.igov.gov.ua
34;AZOT;Region;;;;https://idoc-azot.test.region.igov.gov.ua
36;TGOK;Region;;;;https://idoc-tgok.test.region.igov.gov.ua
35;AGRO;Region;;;;https://idoc-agro.test.region.igov.gov.ua
38;BVG;Region;;;;https://idoc-bvg.test.region.igov.gov.ua
13;Comfy;Region;;;;https://idoc.comfy.ua/
26;AkordBank;Region;;;;https://idoc.comfy.ua/
39;ETG;Region;;;;https://idoc-etg.test.region.igov.gov.ua
21;VSU;Region;;;;https://idoc-vsu.test.region.igov.gov.ua
42;NFM;Region;;;;https://idoc-nfm.test.region.igov.gov.ua
43;Automarket;Region;;;;https://idoc-autopapa.test.region.igov.gov.ua
